,title,agency,date,status,purpose,period_covered,link,reason_denial
0,SALN of Bongbong Marcos,DOTr,2016-11-25,DENIED,School Paper Research(Thesis),11/25/2016 - 11/25/2016,,wrong-agency
1,"SALN of the following: Ronnan Y. Pado, Ernani H. Lazaro, Zacarina A. Lazaro & Haira L. Rivera all of",DOF,2016-12-05,DENIED,Transparency,12/31/2015 - 12/31/2015,,incomplete-request
2,"SALN of Niño Maximino A. Lazaro Municipal Councilor of San Pascual, Masbate",DOF,2016-12-17,DENIED,Public Information,07/01/2013 - 12/31/2015,,wrong-agency
3,The SALNs of each of the cabinet members of the Duterte administration,PCOO,2016-12-23,SUCCESSFUL,news reporting/public information,06/30/2016 - 12/23/2016,,—
4,The SALNs of Presidents Aquino and Duterte's Cabinet members,PCOO,2017-01-18,SUCCESSFUL,Research,06/30/2016 - 06/30/2016,,—
5,available SALN of SPO3 Ricky Malaboto Sta. Isabel,PNP,2017-01-23,CLOSED,research; dissemination thru broadcast media,01/01/2010 - 01/23/2017,,—
6,ABS CBN SALN REQUEST OF PRESIDENTIAL SPOKESPERSON ERNESTO ABELLA,PCOO,2017-01-31,SUCCESSFUL,Research and Development,06/30/2016 - 06/30/2016,,—
7,SALN of Barangay La Paz Capt. Marlou Ancajas,PCOO,2017-02-01,DENIED,For Research and Information,07/01/2007 - 12/31/2016,,wrong-agency
8,2016 SALNs of President Duterte and Cabinet members,PCOO,2017-02-16,DENIED,News publication,01/01/2016 - 02/16/2017,,—
9,SALN of Finance Secretary Carlos Dominguez and House Speaker Pantaleon Alvarez,PCOO,2017-03-01,DENIED,News reporting,01/01/2016 - 12/31/2016,,—
10,"SALN of Brgy. La Paz (Bogo City, Cebu) Capt. Marlou Ancajas",DILG,2017-03-07,DENIED,For Research and Information,07/01/2007 - 12/31/2016,,wrong-agency
11,"SALN of Bulakan, Bulacan Barangay Captain Edilberto Meneses",DILG,2017-03-11,DENIED,"For awareness, research and information.",06/30/2014 - 01/30/2017,,wrong-agency
12,"SALN of Tibaguin, Hagonoy, Bulacan Barangay Captain Cesar Aranas",DILG,2017-03-13,DENIED,for research,03/13/2017 - 03/13/2017,,wrong-agency
13,"SALN of Tibaguin, Hagonoy, Bulacan Barangay Captain Cesar Aranas",DILG,2017-03-14,DENIED,Research and Information,06/30/2014 - 01/30/2017,,wrong-agency
16,"SALN of Makinabang, Baliwag, Bulacan Barangay Captain Rosalina Clemente",DILG,2017-03-13,DENIED,Research,06/30/2014 - 02/28/2017,,wrong-agency
